Employee_id,name,email
1,"Ramesh Kumar",ramesh.kumar@gmail.com
2,"suresh Kumar",suresh.kumar@gmail.com
3,"praveen Kumar",praveen.kumar@gmail.com
4," Kumar",praveen.kumar@gmail.com
5," Kumar",praveen.kumar@gmail.com
6,Vinaysgowda,v636303s@gmail.com
7,shamanth,shamanthhr52@gmail.com
8,kartik,kartik52@gmail.com
9,akshay,akshay2@gmail.com
10,arjun,kjbb@gmail.com
11,arman,ukygy@gmail.com
12,harma,g@gmail.com
13,rama,r@gmail.com
14,rama,11@gmail.com
15,kuma,oancn@gmail.com
16,hma,oancn@gmail.com
17,ihhbma,jbbncn@gmail.com
18,hbma,jbcn@gmail.com
19,aaam,khhn@gmail.com
20,Harish,harish@gmail.com
